R;T
0.025;80
0.025888889;79.25399422
0.026333333;78.89054295
0.026777778;78.5331748
0.027222222;78.18168957
0.027666667;77.83589667
0.028111111;77.49561463
0.028555556;77.16067057
0.029;76.8308996
0.029444444;76.50614435
0.029888889;76.18625454
0.030333333;75.87108652
0.030777778;75.56050293
0.031222222;75.2543723
0.031666667;74.95256875
0.032111111;74.65497166
0.032555556;74.36146538
0.033;74.07193897
0.033444444;73.78628594
0.033888889;73.50440401
0.034333333;73.22619492
0.034777778;72.95156418
0.035222222;72.68042091
0.035666667;72.41267765
0.036111111;72.14825017
0.036555556;71.88705737
0.037;71.62902105
0.037444444;71.37406583
0.037888889;71.12211901
0.038333333;70.8731104
0.038777778;70.62697228
0.039222222;70.38363921
0.039666667;70.14304799
0.040111111;69.9051375
0.040555556;69.66984866
0.041;69.43712433
0.041444444;69.20690921
0.041888889;68.97914977
0.042333333;68.75379416
0.042777778;68.53079218
0.043222222;68.31009517
0.043666667;68.09165597
0.044111111;67.87542884
0.044555556;67.66136941
0.045;67.44943455
